IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.209.164.163,443,443,true,SEA,North America,US,Seattle,338,9.42
54.149.52.156,443,443,true,PDX,North America,US,Portland,404,9.42
18.159.111.125,2053,443,true,FRA,Europe,DE,Frankfurt,440,9.41
52.34.198.185,443,443,true,PDX,North America,US,Portland,454,9.41
34.211.143.70,443,443,true,SEA,North America,US,Seattle,298,9.41
34.222.75.54,443,443,true,SEA,North America,US,Seattle,285,9.41
54.200.115.251,443,443,true,PDX,North America,US,Portland,209,9.41
34.212.40.53,443,443,true,SEA,North America,US,Seattle,320,9.40
52.42.71.111,443,443,true,PDX,North America,US,Portland,256,9.40
35.87.61.125,443,443,true,PDX,North America,US,Portland,205,9.40
52.39.224.125,443,443,true,SEA,North America,US,Seattle,296,9.40
18.185.239.33,2053,443,true,FRA,Europe,DE,Frankfurt,244,9.40
44.244.235.167,443,443,true,SEA,North America,US,Seattle,328,9.40
34.218.224.167,443,443,true,PDX,North America,US,Portland,214,9.40
34.212.40.53,443,443,true,SEA,North America,US,Seattle,254,9.40
18.185.51.67,8080,443,true,FRA,Europe,DE,Frankfurt,187,9.39
16.171.209.44,8080,443,true,ARN,Europe,SE,Stockholm,346,9.39
34.244.185.138,443,443,true,DUB,Europe,IE,Dublin,313,9.39
3.123.41.161,8443,443,true,FRA,Europe,DE,Frankfurt,416,9.39
54.190.156.35,443,443,true,PDX,North America,US,Portland,280,9.39
35.167.81.143,443,443,true,PDX,North America,US,Portland,202,9.38
67.226.221.21,80,443,true,SJC,North America,US,San Jose,262,9.38
34.221.199.55,443,443,true,SEA,North America,US,Seattle,280,9.38
35.94.214.198,443,443,true,PDX,North America,US,Portland,525,9.38
54.185.71.192,443,443,true,SEA,North America,US,Seattle,313,9.38
18.184.226.83,443,443,true,FRA,Europe,DE,Frankfurt,197,9.37
54.244.102.128,443,443,true,PDX,North America,US,Portland,206,9.37
54.212.231.115,443,443,true,PDX,North America,US,Portland,299,9.37
18.197.195.222,2053,443,true,FRA,Europe,DE,Frankfurt,432,9.37
34.215.217.165,443,443,true,SEA,North America,US,Seattle,239,9.37
35.165.186.107,443,443,true,SEA,North America,US,Seattle,330,9.37
18.185.254.189,443,443,true,FRA,Europe,DE,Frankfurt,393,9.37
54.245.136.139,443,443,true,PDX,North America,US,Portland,407,9.37
34.219.172.174,443,443,true,SEA,North America,US,Seattle,261,9.36
16.171.134.69,443,443,true,CPH,Europe,DK,Copenhagen,257,9.36
35.88.9.76,443,443,true,PDX,North America,US,Portland,197,9.36
54.186.68.112,443,443,true,PDX,North America,US,Portland,324,9.36
18.153.166.250,2053,443,true,FRA,Europe,DE,Frankfurt,393,9.36
34.217.213.220,443,443,true,PDX,North America,US,Portland,187,9.36
52.33.239.139,443,443,true,PDX,North America,US,Portland,296,9.36
54.71.137.237,443,443,true,PDX,North America,US,Portland,295,9.36
54.212.172.176,443,443,true,PDX,North America,US,Portland,401,9.35
44.224.24.91,443,443,true,SEA,North America,US,Seattle,229,9.35
54.213.85.114,443,443,true,SEA,North America,US,Seattle,347,9.35
3.101.102.25,80,443,true,SJC,North America,US,San Jose,358,9.35
18.237.197.52,443,443,true,SEA,North America,US,Seattle,212,9.35
34.212.181.9,443,443,true,SEA,North America,US,Seattle,226,9.35
54.213.214.160,443,443,true,PDX,North America,US,Portland,218,9.35
51.20.3.68,443,443,true,CPH,Europe,DK,Copenhagen,365,9.35
67.226.221.112,80,443,true,SJC,North America,US,San Jose,215,9.34
54.186.53.113,443,443,true,SEA,North America,US,Seattle,279,9.34
54.203.112.126,443,443,true,PDX,North America,US,Portland,309,9.34
35.81.207.167,443,443,true,SEA,North America,US,Seattle,242,9.34
34.210.127.184,443,443,true,SEA,North America,US,Seattle,204,9.34
52.26.209.33,443,443,true,PDX,North America,US,Portland,343,9.34
51.20.182.145,8443,443,true,CPH,Europe,DK,Copenhagen,233,9.33
34.214.75.221,443,443,true,SEA,North America,US,Seattle,277,9.33
