IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
89.168.64.199,443,443,true,CDG,Europe,FR,Paris,286,5.70
132.226.134.167,443,443,true,FRA,Europe,DE,Frankfurt,244,5.69
150.230.63.93,443,443,true,KIX,Asia Pacific,JP,Osaka,111,5.66
158.179.167.73,443,443,true,ICN,Asia Pacific,KR,Seoul,186,5.63
150.230.106.97,443,443,true,NRT,Asia Pacific,JP,Tokyo,144,5.62
158.179.207.182,8443,443,true,ARN,Europe,SE,Stockholm,304,5.59
150.230.7.216,443,443,true,KIX,Asia Pacific,JP,Osaka,104,5.57
152.69.171.12,443,443,true,SYD,Oceania,AU,Sydney,369,5.51
140.238.58.181,2053,443,true,NRT,Asia Pacific,JP,Tokyo,72,5.47
130.162.143.219,443,443,true,ICN,Asia Pacific,KR,Seoul,321,5.45
152.70.179.159,443,443,true,FRA,Europe,DE,Frankfurt,233,5.44
144.24.90.107,443,443,true,ICN,Asia Pacific,KR,Seoul,186,5.41
129.151.198.3,8443,443,true,ARN,Europe,SE,Stockholm,289,5.39
193.123.237.122,2083,2083,true,ICN,Asia Pacific,KR,Seoul,333,5.38
168.138.45.167,443,443,true,KIX,Asia Pacific,JP,Osaka,150,5.33
158.101.215.203,443,443,true,FRA,Europe,DE,Frankfurt,284,5.29
168.138.215.251,443,443,true,NRT,Asia Pacific,JP,Tokyo,133,5.26
130.162.184.130,443,443,true,SEA,North America,US,Seattle,252,5.25
143.47.243.144,2053,443,true,LHR,Europe,GB,London,225,5.24
168.138.209.31,443,443,true,NRT,Asia Pacific,JP,Tokyo,124,5.23
129.151.198.3,2053,443,true,ARN,Europe,SE,Stockholm,294,5.20
193.123.250.209,2087,2096,true,ICN,Asia Pacific,KR,Seoul,327,5.07
140.83.60.81,8443,443,true,KIX,Asia Pacific,JP,Osaka,149,5.02
132.226.19.151,8080,443,true,ICN,Asia Pacific,KR,Seoul,91,5.02
152.70.155.147,2087,2087,true,LAX,North America,US,Los Angeles,263,5.00
158.180.19.65,443,443,true,FRA,Europe,DE,Frankfurt,259,4.90
158.178.153.80,2096,443,true,AMS,Europe,NL,Amsterdam,298,4.87
140.238.212.95,443,443,true,MUC,Europe,DE,Munich,309,4.84
129.154.46.115,443,443,true,HYD,Asia Pacific,IN,Hyderabad,374,4.82
141.147.47.32,8443,443,true,FRA,Europe,DE,Frankfurt,175,4.81
193.122.58.158,443,443,true,DUS,Europe,DE,Düsseldorf,238,4.77
152.67.78.184,443,443,true,ZRH,Europe,CH,Zurich,245,4.77
84.235.169.234,443,443,true,AMS,Europe,NL,Amsterdam,315,4.77
89.168.43.28,443,443,true,CDG,Europe,FR,Paris,263,4.76
131.186.17.132,443,443,true,ICN,Asia Pacific,KR,Seoul,274,4.75
158.101.199.249,8443,443,true,AMS,Europe,NL,Amsterdam,346,4.74
129.154.59.99,443,443,true,ICN,Asia Pacific,KR,Seoul,131,4.73
141.147.50.202,443,443,true,FRA,Europe,DE,Frankfurt,248,4.72
144.24.243.207,443,443,true,ZRH,Europe,CH,Zurich,360,4.70
152.69.197.102,443,443,true,KIX,Asia Pacific,JP,Osaka,344,4.69
89.168.43.31,2053,443,true,CDG,Europe,FR,Paris,318,4.60
168.138.46.67,443,443,true,KIX,Asia Pacific,JP,Osaka,142,4.56
152.67.65.201,443,443,true,ZRH,Europe,CH,Zurich,168,4.56
152.70.59.90,8443,443,true,AMS,Europe,NL,Amsterdam,473,4.51
141.147.96.97,443,443,true,FRA,Europe,DE,Frankfurt,345,4.44
141.147.85.167,8443,443,true,LHR,Europe,GB,London,258,4.27
130.162.228.90,443,443,true,FRA,Europe,DE,Frankfurt,283,4.25
152.70.88.98,443,443,true,ICN,Asia Pacific,KR,Seoul,105,4.08
141.147.64.108,443,443,true,FRA,Europe,DE,Frankfurt,265,4.05
144.24.20.251,2053,443,true,LAX,North America,US,Los Angeles,306,3.97
89.168.124.134,443,443,true,FRA,Europe,DE,Frankfurt,307,3.90
132.145.66.195,443,443,true,FRA,Europe,DE,Frankfurt,286,3.81
132.226.114.74,443,443,true,LAX,North America,US,Los Angeles,383,3.78
158.180.47.23,443,443,true,FRA,Europe,DE,Frankfurt,239,3.75
193.123.36.192,443,443,true,FRA,Europe,DE,Frankfurt,474,3.66
141.144.252.125,443,443,true,FRA,Europe,DE,Frankfurt,292,3.64
158.101.192.232,443,443,true,FRA,Europe,DE,Frankfurt,334,3.63
158.180.35.47,443,443,true,FRA,Europe,DE,Frankfurt,370,3.62
40.233.70.7,8443,443,true,YYZ,North America,CA,Toronto,348,3.55
193.122.7.240,443,443,true,FRA,Europe,DE,Frankfurt,393,3.55
141.145.217.226,443,443,true,CDG,Europe,FR,Paris,276,3.54
89.168.118.189,443,443,true,FRA,Europe,DE,Frankfurt,250,3.53
79.72.83.134,443,443,true,YYZ,North America,CA,Toronto,296,3.49
158.101.211.136,443,443,true,OTP,Europe,RO,Bucharest,387,3.44
84.8.145.198,443,443,true,FRA,Europe,DE,Frankfurt,357,3.43
152.70.57.129,443,443,true,FRA,Europe,DE,Frankfurt,398,3.39
152.70.59.95,443,443,true,FRA,Europe,DE,Frankfurt,534,3.34
79.76.119.215,443,443,true,FRA,Europe,DE,Frankfurt,472,3.33
193.123.62.0,443,443,true,FRA,Europe,DE,Frankfurt,469,3.31
89.168.78.121,443,443,true,FRA,Europe,DE,Frankfurt,257,3.31
152.70.61.75,443,443,true,FRA,Europe,DE,Frankfurt,367,3.26
150.136.87.192,443,443,true,IAD,North America,US,Ashburn,256,3.25
141.147.10.231,443,443,true,FRA,Europe,DE,Frankfurt,240,3.22
141.147.9.226,443,443,true,FRA,Europe,DE,Frankfurt,230,3.20
158.101.209.129,443,443,true,OTP,Europe,RO,Bucharest,391,3.20
141.144.198.113,2053,443,true,AMS,Europe,NL,Amsterdam,190,3.17
152.70.171.61,443,443,true,FRA,Europe,DE,Frankfurt,241,3.17
84.8.148.183,443,443,true,FRA,Europe,DE,Frankfurt,283,3.10
132.226.214.222,443,443,true,FRA,Europe,DE,Frankfurt,232,3.07
130.162.51.12,443,443,true,FRA,Europe,DE,Frankfurt,373,3.07
141.144.255.76,443,443,true,FRA,Europe,DE,Frankfurt,286,3.07
144.21.41.130,443,443,true,FRA,Europe,DE,Frankfurt,360,3.06
141.144.231.181,443,443,true,FRA,Europe,DE,Frankfurt,284,3.05
138.2.166.143,443,443,true,FRA,Europe,DE,Frankfurt,267,3.03
141.148.229.106,443,443,true,AMS,Europe,NL,Amsterdam,249,2.95
84.235.164.34,443,443,true,FRA,Europe,DE,Frankfurt,359,2.94
152.70.177.84,443,443,true,DUS,Europe,DE,Düsseldorf,305,2.91
132.226.214.48,443,443,true,FRA,Europe,DE,Frankfurt,362,2.90
130.61.8.202,443,443,true,FRA,Europe,DE,Frankfurt,351,2.89
138.2.163.37,443,443,true,FRA,Europe,DE,Frankfurt,365,2.88
217.142.243.226,443,443,true,KIX,Asia Pacific,JP,Osaka,127,2.87
144.24.186.72,443,443,true,FRA,Europe,DE,Frankfurt,296,2.87
144.24.183.122,443,443,true,CDG,Europe,FR,Paris,348,2.84
146.56.101.141,443,443,true,ICN,Asia Pacific,KR,Seoul,135,2.84
143.47.245.194,443,443,true,FRA,Europe,DE,Frankfurt,423,2.82
141.144.197.221,443,443,true,FRA,Europe,DE,Frankfurt,326,2.79
132.145.234.187,443,443,true,FRA,Europe,DE,Frankfurt,176,2.75
