IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.146.46.164,443,true,LAX,North America,Los Angeles,255 ms,7125 kB/s
192.9.250.241,443,true,SJC,North America,San Jose,173 ms,6807 kB/s
192.9.137.193,8443,true,SJC,North America,San Jose,169 ms,4792 kB/s
158.101.223.48,443,true,FRA,Europe,Frankfurt,255 ms,4549 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,298 ms,4490 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,271 ms,4239 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,241 ms,4180 kB/s
152.70.155.147,2053,true,LAX,North America,Los Angeles,271 ms,3988 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,250 ms,3394 kB/s
129.159.241.172,443,true,FRA,Europe,Frankfurt,261 ms,3351 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,273 ms,3186 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,291 ms,3173 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,251 ms,3045 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,292 ms,2984 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,254 ms,2933 kB/s
152.70.155.147,8443,true,LAX,North America,Los Angeles,272 ms,2930 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,366 ms,2906 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,295 ms,2806 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,268 ms,2665 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,267 ms,2662 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,354 ms,2611 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,287 ms,2303 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,297 ms,1966 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,248 ms,1734 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,359 ms,1657 kB/s
150.230.7.216,443,true,KIX,Asia Pacific,Osaka,226 ms,1574 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,262 ms,1513 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,261 ms,1366 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,263 ms,1356 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,274 ms,1316 kB/s
152.70.155.147,443,true,LAX,North America,Los Angeles,272 ms,1180 kB/s
158.179.206.143,443,true,ARN,Europe,Stockholm,269 ms,1172 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,362 ms,1043 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,314 ms,892 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,287 ms,889 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,367 ms,774 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,263 ms,668 kB/s
141.145.199.188,443,true,CDG,Europe,Paris,257 ms,489 kB/s
132.226.7.217,443,true,NRT,Asia Pacific,Tokyo,134 ms,438 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,342 ms,422 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,293 ms,371 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,293 ms,364 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,304 ms,160 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,300 ms,137 kB/s
140.238.50.112,443,true,NRT,Asia Pacific,Tokyo,149 ms,134 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,134 ms,67 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,275 ms,33 kB/s
168.138.50.249,443,true,KIX,Asia Pacific,Osaka,197 ms,0 kB/s
146.56.146.67,443,true,ICN,Asia Pacific,Seoul,199 ms,0 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,318 ms,0 kB/s
193.123.235.59,443,true,ICN,Asia Pacific,Seoul,205 ms,0 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,242 ms,0 kB/s
132.145.127.203,8443,true,NRT,Asia Pacific,Tokyo,149 ms,0 kB/s
