IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.140.154,2086,2086,false,NRT,Asia Pacific,Tokyo,71,9.94
158.101.215.48,443,443,true,FRA,Europe,Frankfurt,174,9.94
131.186.47.255,8080,8080,false,NRT,Asia Pacific,Tokyo,73,9.94
132.145.117.216,2082,2082,false,NRT,Asia Pacific,Tokyo,72,9.94
158.179.189.106,2096,2096,true,NRT,Asia Pacific,Tokyo,101,9.94
141.147.114.194,443,443,true,FRA,Europe,Frankfurt,196,9.94
141.147.183.96,2083,2083,true,NRT,Asia Pacific,Tokyo,196,9.94
158.179.184.166,80,80,false,NRT,Asia Pacific,Tokyo,68,9.93
150.230.219.83,2052,2052,false,NRT,Asia Pacific,Tokyo,69,9.93
132.145.115.17,8080,8080,false,NRT,Asia Pacific,Tokyo,70,9.93
140.238.40.136,2052,2052,false,NRT,Asia Pacific,Tokyo,72,9.93
143.47.230.130,443,443,true,FRA,Europe,Frankfurt,193,9.92
129.159.203.186,443,443,true,FRA,Europe,Frankfurt,187,9.92
150.230.98.39,8443,8443,true,NRT,Asia Pacific,Tokyo,95,9.92
141.144.253.86,443,443,true,FRA,Europe,Frankfurt,164,9.92
144.21.54.75,443,443,true,FRA,Europe,Frankfurt,190,9.92
140.238.61.78,2083,2083,true,NRT,Asia Pacific,Tokyo,139,9.92
168.138.212.74,2082,2082,false,NRT,Asia Pacific,Tokyo,69,9.91
158.101.144.189,2087,2087,true,NRT,Asia Pacific,Tokyo,120,9.91
140.238.32.184,8880,8880,false,NRT,Asia Pacific,Tokyo,76,9.90
131.186.62.26,2082,2082,false,NRT,Asia Pacific,Tokyo,71,9.90
132.145.120.103,80,80,false,NRT,Asia Pacific,Tokyo,71,9.90
132.145.120.115,2053,2053,true,NRT,Asia Pacific,Tokyo,116,9.90
158.101.149.71,8880,8880,false,NRT,Asia Pacific,Tokyo,124,9.90
140.238.36.248,2096,2096,true,NRT,Asia Pacific,Tokyo,106,9.90
158.179.180.109,80,80,false,NRT,Asia Pacific,Tokyo,71,9.90
158.179.189.235,2086,2086,false,NRT,Asia Pacific,Tokyo,71,9.90
140.83.37.200,2087,2087,true,NRT,Asia Pacific,Tokyo,90,9.89
140.238.58.42,2083,2083,true,NRT,Asia Pacific,Tokyo,72,9.89
132.145.112.168,8880,8880,false,NRT,Asia Pacific,Tokyo,75,9.89
140.238.58.42,8080,8080,false,NRT,Asia Pacific,Tokyo,71,9.88
141.147.189.242,8443,8443,true,NRT,Asia Pacific,Tokyo,316,9.88
140.238.32.238,2087,2087,true,NRT,Asia Pacific,Tokyo,250,9.87
168.138.215.188,2086,2086,false,NRT,Asia Pacific,Tokyo,70,9.87
140.238.61.224,2095,2095,false,NRT,Asia Pacific,Tokyo,70,9.87
141.147.95.159,443,443,true,FRA,Europe,Frankfurt,195,9.87
168.138.207.64,8443,8443,true,NRT,Asia Pacific,Tokyo,81,9.87
141.147.164.123,2086,2086,false,NRT,Asia Pacific,Tokyo,71,9.86
168.138.205.38,2053,2053,true,NRT,Asia Pacific,Tokyo,76,9.85
138.3.216.67,2082,2082,false,NRT,Asia Pacific,Tokyo,72,9.85
132.145.127.21,2087,2087,true,NRT,Asia Pacific,Tokyo,71,9.85
140.238.39.33,8880,8880,false,NRT,Asia Pacific,Tokyo,88,9.85
138.3.223.70,2095,2095,false,NRT,Asia Pacific,Tokyo,71,9.84
158.101.143.49,8080,8080,false,NRT,Asia Pacific,Tokyo,85,9.84
158.101.159.181,80,80,false,NRT,Asia Pacific,Tokyo,95,9.84
140.238.39.21,2086,2086,false,NRT,Asia Pacific,Tokyo,79,9.84
158.101.140.154,8443,8443,true,NRT,Asia Pacific,Tokyo,156,9.84
143.47.184.164,443,443,true,FRA,Europe,Frankfurt,187,9.84
158.101.144.189,8080,8080,false,NRT,Asia Pacific,Tokyo,74,9.83
140.83.35.198,2082,2082,false,NRT,Asia Pacific,Tokyo,73,9.83
132.145.126.21,2096,2096,true,NRT,Asia Pacific,Tokyo,80,9.83
168.138.202.169,2082,2082,false,NRT,Asia Pacific,Tokyo,69,9.82
141.147.167.102,80,80,false,NRT,Asia Pacific,Tokyo,69,9.82
158.101.148.221,8080,8080,false,HKG,Asia Pacific,Hong Kong,130,9.81
141.147.168.13,2086,2086,false,NRT,Asia Pacific,Tokyo,70,9.81
158.179.188.7,2095,2095,false,NRT,Asia Pacific,Tokyo,71,9.80
131.186.56.188,8080,8080,false,NRT,Asia Pacific,Tokyo,70,9.80
150.230.98.39,2052,2052,false,NRT,Asia Pacific,Tokyo,71,9.80
158.101.158.238,2096,2096,true,NRT,Asia Pacific,Tokyo,119,9.80
158.179.178.142,8443,8443,true,NRT,Asia Pacific,Tokyo,97,9.80
158.101.149.52,2083,2083,true,NRT,Asia Pacific,Tokyo,119,9.79
140.238.34.208,8080,8080,false,NRT,Asia Pacific,Tokyo,71,9.79
138.3.211.101,2086,2086,false,NRT,Asia Pacific,Tokyo,70,9.79
158.101.220.73,443,443,true,FRA,Europe,Frankfurt,208,9.79
158.179.176.239,2053,2053,true,NRT,Asia Pacific,Tokyo,102,9.78
131.186.46.75,8880,8880,false,NRT,Asia Pacific,Tokyo,82,9.78
141.147.102.116,443,443,true,CDG,Europe,Paris,192,9.78
141.147.168.159,2086,2086,false,NRT,Asia Pacific,Tokyo,70,9.78
168.138.212.74,2095,2095,false,NRT,Asia Pacific,Tokyo,72,9.78
132.145.121.247,2086,2086,false,NRT,Asia Pacific,Tokyo,69,9.78
168.138.198.53,2053,2053,true,NRT,Asia Pacific,Tokyo,89,9.78
158.101.154.70,2083,2083,true,NRT,Asia Pacific,Tokyo,121,9.78
132.226.14.155,2053,2053,true,NRT,Asia Pacific,Tokyo,76,9.77
132.145.123.112,2087,2087,true,NRT,Asia Pacific,Tokyo,72,9.77
132.145.121.242,2082,2082,false,HKG,Asia Pacific,Hong Kong,128,9.76
140.238.39.21,80,80,false,NRT,Asia Pacific,Tokyo,69,9.76
132.145.114.250,2053,2053,true,NRT,Asia Pacific,Tokyo,96,9.76
141.147.182.76,8080,8080,false,NRT,Asia Pacific,Tokyo,69,9.76
132.145.117.216,80,80,false,NRT,Asia Pacific,Tokyo,70,9.75
158.179.189.106,8880,8880,false,NRT,Asia Pacific,Tokyo,67,9.75
158.101.155.115,2096,2096,true,NRT,Asia Pacific,Tokyo,189,9.75
141.147.166.189,2082,2082,false,NRT,Asia Pacific,Tokyo,70,9.75
168.138.205.38,2095,2095,false,NRT,Asia Pacific,Tokyo,71,9.74
150.230.107.197,2052,2052,false,NRT,Asia Pacific,Tokyo,70,9.74
140.238.34.208,2096,2096,true,NRT,Asia Pacific,Tokyo,147,9.74
141.147.182.76,80,80,false,NRT,Asia Pacific,Tokyo,71,9.74
158.179.188.7,2052,2052,false,NRT,Asia Pacific,Tokyo,71,9.73
141.147.182.70,2086,2086,false,NRT,Asia Pacific,Tokyo,71,9.73
141.147.167.102,2082,2082,false,NRT,Asia Pacific,Tokyo,71,9.72
168.138.209.84,8080,8080,false,NRT,Asia Pacific,Tokyo,70,9.72
168.138.207.64,2052,2052,false,NRT,Asia Pacific,Tokyo,71,9.71
150.230.219.83,8880,8880,false,NRT,Asia Pacific,Tokyo,68,9.71
141.147.174.190,2095,2095,false,NRT,Asia Pacific,Tokyo,80,9.71
132.226.6.5,2053,2053,true,NRT,Asia Pacific,Tokyo,94,9.71
168.138.195.31,2053,2053,true,NRT,Asia Pacific,Tokyo,103,9.71
168.138.209.244,80,80,false,NRT,Asia Pacific,Tokyo,77,9.70
